month,state,permit,handgun,long_gun,other,multiple,totals
2017-05-01,Wyoming,435.0,1589.0,1578.0,101.0,91,4128
2017-04-01,Alabama,17958.0,7131.0,4724.0,229.0,261,32652
2017-04-01,Alaska,289.0,2997.0,2840.0,221.0,233,6983
2017-04-01,Arizona,7385.0,13302.0,7485.0,1109.0,658,32052
2017-04-01,Arkansas,3158.0,5670.0,4226.0,191.0,287,16452
2017-04-01,California,58147.0,45182.0,24898.0,3104.0,0,132190
2017-04-01,Colorado,5576.0,19453.0,12407.0,1268.0,1068,39989
2017-04-01,Connecticut,7557.0,6557.0,2063.0,178.0,0,16406
2017-04-01,Delaware,689.0,2017.0,1249.0,90.0,89,4296
2017-04-01,Florida,22072.0,52889.0,19489.0,3290.0,1840,103641
2017-04-01,Georgia,14464.0,13202.0,6567.0,463.0,421,37829
2017-04-01,Hawaii,885.0,0.0,0.0,0.0,0,888
2017-04-01,Idaho,6062.0,3874.0,4039.0,196.0,160,15234
2017-04-01,Illinois,15405.0,25414.0,10416.0,0.0,845,135507
2017-04-01,Indiana,27978.0,21454.0,11390.0,1158.0,677,63298
2017-04-01,Iowa,9542.0,252.0,2348.0,56.0,3,13017
2017-04-01,Kansas,3189.0,5901.0,4435.0,402.0,308,15139
2017-04-01,Kentucky,372852.0,9858.0,6519.0,257.0,433,392685
2017-04-01,Louisiana,2387.0,10551.0,6161.0,797.0,492,22065
2017-04-01,Maine,557.0,3816.0,3073.0,242.0,183,8115
2017-04-01,Maryland,3126.0,4435.0,5128.0,227.0,24,13182
2017-04-01,Massachusetts,7867.0,6540.0,2717.0,411.0,194,17866
2017-04-01,Michigan,19168.0,12478.0,9139.0,524.0,246,41939
2017-04-01,Minnesota,44204.0,13074.0,12144.0,885.0,540,71484
2017-04-01,Mississippi,1758.0,7952.0,4359.0,245.0,294,16803
2017-04-01,Missouri,815.0,20328.0,14124.0,1233.0,998,40019
2017-04-01,Montana,1494.0,3014.0,4246.0,162.0,219,10293
2017-04-01,Nebraska,3869.0,126.0,1648.0,15.0,4,5745
2017-04-01,Nevada,2016.0,4890.0,2747.0,243.0,287,10588
2017-04-01,New Hampshire,1706.0,5658.0,3121.0,165.0,9,10792
2017-04-01,New Jersey,0.0,5722.0,3201.0,196.0,0,9119
2017-04-01,New Mexico,1350.0,5665.0,4023.0,502.0,267,12748
2017-04-01,New York,2879.0,11913.0,14591.0,1111.0,204,33113
2017-04-01,North Carolina,24568.0,1471.0,9870.0,678.0,185,39992
2017-04-01,North Dakota,1434.0,2209.0,2492.0,107.0,99,6504
2017-04-01,Ohio,14485.0,31417.0,16030.0,1580.0,1209,66800
2017-04-01,Oklahoma,0.0,13317.0,9111.0,1159.0,862,27478
2017-04-01,Oregon,1830.0,15122.0,10896.0,0.0,2,27936
2017-04-01,Pennsylvania,24949.0,48255.0,11877.0,97.0,0,85908
2017-04-01,Rhode Island,0.0,1146.0,673.0,82.0,200,2133
2017-04-01,South Carolina,12113.0,9548.0,4420.0,515.0,1159,30218
2017-04-01,South Dakota,1191.0,2896.0,3008.0,308.0,148,7857
2017-04-01,Tennessee,22073.0,23031.0,11521.0,1164.0,0,57852
2017-04-01,Texas,21593.0,44994.0,28015.0,3098.0,2442,109961
2017-04-01,Utah,14872.0,3917.0,3302.0,226.0,0,23177
2017-04-01,Vermont,0.0,1855.0,1720.0,124.0,105,3818
2017-04-01,Virginia,1074.0,29480.0,16844.0,1227.0,0,48631
2017-04-01,Washington,13564.0,17120.0,10659.0,1750.0,630,47895
2017-04-01,West Virginia,2267.0,6723.0,5263.0,257.0,365,16988
2017-04-01,Wisconsin,14511.0,16700.0,13302.0,873.0,46,45872
2017-04-01,Wyoming,382.0,1633.0,1711.0,108.0,85,4269
2017-03-01,Alabama,27666.0,10603.0,6951.0,313.0,387,48769
2017-03-01,Alaska,362.0,3067.0,2640.0,242.0,184,6971
2017-03-01,Arizona,9556.0,14897.0,9036.0,1120.0,738,38170
2017-03-01,Arkansas,4775.0,7907.0,6010.0,281.0,454,23290
2017-03-01,California,65892.0,48732.0,27839.0,3032.0,0,146592
2017-03-01,Colorado,7030.0,21249.0,14378.0,1528.0,1181,45645
2017-03-01,Connecticut,8575.0,7476.0,2551.0,182.0,0,18787
2017-03-01,Delaware,835.0,2557.0,1677.0,95.0,110,5527
2017-03-01,Florida,26986.0,60787.0,23982.0,3609.0,2176,122716
2017-03-01,Georgia,23394.0,19256.0,9518.0,533.0,676,57235
2017-03-01,Hawaii,1086.0,0.0,0.0,0.0,0,1090
2017-03-01,Idaho,5620.0,4500.0,4944.0,289.0,243,16675
2017-03-01,Illinois,911.0,30518.0,14411.0,0.0,1207,163728
2017-03-01,Indiana,33324.0,28593.0,14363.0,1575.0,793,79624
2017-03-01,Iowa,16295.0,316.0,3137.0,62.0,4,20026
2017-03-01,Kansas,2492.0,7712.0,5522.0,558.0,360,17891
2017-03-01,Kentucky,370113.0,13769.0,8992.0,347.0,645,397959
2017-03-01,Louisiana,2963.0,13973.0,8092.0,988.0,762,29310
2017-03-01,Maine,949.0,4558.0,3286.0,305.0,197,9632
2017-03-01,Maryland,4056.0,5398.0,5737.0,292.0,21,15769
2017-03-01,Massachusetts,9541.0,7274.0,3421.0,464.0,185,21059
2017-03-01,Michigan,25819.0,16031.0,11103.0,617.0,273,54452
2017-03-01,Minnesota,48301.0,14029.0,12988.0,1131.0,518,77749
2017-03-01,Mississippi,2558.0,11586.0,6508.0,344.0,465,24421
2017-03-01,Missouri,1253.0,27625.0,17931.0,1537.0,1286,52928
2017-03-01,Montana,2182.0,3615.0,4584.0,299.0,281,12396
2017-03-01,Nebraska,5011.0,176.0,1984.0,24.0,7,7337
2017-03-01,Nevada,3754.0,6038.0,3219.0,298.0,301,14158
2017-03-01,New Hampshire,2480.0,7278.0,3462.0,227.0,3,13529
2017-03-01,New Jersey,0.0,6871.0,3864.0,258.0,0,10993
2017-03-01,New Mexico,1467.0,6752.0,4571.0,524.0,374,14963
2017-03-01,New York,3138.0,12788.0,15591.0,1245.0,204,35608
2017-03-01,North Carolina,34178.0,1669.0,13837.0,875.0,261,55574
2017-03-01,North Dakota,1614.0,2013.0,2371.0,124.0,70,6461
2017-03-01,Ohio,17130.0,37474.0,19925.0,2384.0,1481,81153
2017-03-01,Oklahoma,0.0,14157.0,10065.0,1118.0,977,30518
2017-03-01,Oregon,1638.0,17177.0,13521.0,0.0,0,32423
2017-03-01,Pennsylvania,32238.0,61207.0,15836.0,86.0,0,110334
2017-03-01,Rhode Island,0.0,1424.0,791.0,83.0,223,2553
2017-03-01,South Carolina,19015.0,13284.0,6749.0,680.0,691,43113
2017-03-01,South Dakota,1773.0,3361.0,3686.0,342.0,238,9770
2017-03-01,Tennessee,27766.0,29369.0,15922.0,1526.0,0,74655
2017-03-01,Texas,33412.0,55983.0,34308.0,3702.0,2846,144270
2017-03-01,Utah,17259.0,4401.0,4010.0,284.0,0,26941
2017-03-01,Vermont,0.0,2007.0,1793.0,125.0,109,4051
2017-03-01,Virginia,529.0,29873.0,17754.0,1193.0,0,49368
2017-03-01,Washington,16813.0,20308.0,12740.0,2224.0,735,58069
2017-03-01,West Virginia,2951.0,8887.0,6616.0,324.0,523,22529
2017-03-01,Wisconsin,20393.0,19864.0,16763.0,1105.0,41,58739
2017-03-01,Wyoming,534.0,2017.0,2038.0,134.0,124,5315
2017-02-01,Alabama,23900.0,10739.0,7028.0,291.0,505,46251
2017-02-01,Alaska,137.0,2857.0,2102.0,191.0,180,5917
2017-02-01,Arizona,7938.0,15642.0,8881.0,984.0,821,37388
2017-02-01,Arkansas,3220.0,7974.0,5938.0,237.0,590,22548
2017-02-01,California,56533.0,44363.0,24987.0,2898.0,0,129885
2017-02-01,Colorado,6447.0,20958.0,13477.0,1235.0,1240,43577
2017-02-01,Connecticut,6436.0,6445.0,2187.0,138.0,0,15209
2017-02-01,Delaware,692.0,2342.0,1663.0,64.0,102,5066
2017-02-01,Florida,23617.0,59201.0,23479.0,2928.0,2187,117892
2017-02-01,Georgia,18666.0,19007.0,9334.0,454.0,863,53177
2017-02-01,Hawaii,1035.0,0.0,0.0,0.0,0,1037
2017-02-01,Idaho,5342.0,4051.0,3904.0,230.0,227,14936
2017-02-01,Illinois,11166.0,27418.0,12635.0,0.0,1002,139697
2017-02-01,Indiana,92422.0,27343.0,13221.0,1288.0,814,136193
2017-02-01,Iowa,12039.0,318.0,2403.0,34.0,12,15025
2017-02-01,Kansas,3179.0,8082.0,5501.0,511.0,430,19211
2017-02-01,Kentucky,283492.0,14975.0,8636.0,253.0,1044,313748
2017-02-01,Louisiana,3184.0,12698.0,7601.0,846.0,668,27684
2017-02-01,Maine,696.0,3758.0,2544.0,227.0,169,7731
2017-02-01,Maryland,3812.0,4925.0,5534.0,213.0,45,14852
2017-02-01,Massachusetts,8255.0,6280.0,2901.0,404.0,156,18130
2017-02-01,Michigan,21600.0,15564.0,9804.0,553.0,263,48382
2017-02-01,Minnesota,38315.0,12047.0,9641.0,791.0,375,62051
2017-02-01,Mississippi,1966.0,11285.0,6045.0,279.0,580,24043
2017-02-01,Missouri,1001.0,26726.0,16012.0,1393.0,1477,50850
2017-02-01,Montana,1911.0,2912.0,3429.0,177.0,309,10386
2017-02-01,Nebraska,4867.0,171.0,1937.0,19.0,6,7122
2017-02-01,Nevada,2158.0,5644.0,2732.0,301.0,308,11765
2017-02-01,New Hampshire,2855.0,6092.0,3098.0,156.0,2,12282
2017-02-01,New Jersey,0.0,5904.0,3481.0,216.0,0,9601
2017-02-01,New Mexico,1230.0,7032.0,4632.0,400.0,509,15364
